Data-storage-ID,PI-ID,Maturity group
SRR1533353,PI547459,IV
SRR1533356,PI553047,VII
SRR1533357,PI547562,IV
SRR1533362,PI533655,II
SRR1533365,PI548638,0
SRR1533366,PI547460,IV
SRR1533369,PI518750,I
SRR1533371,PI548540,II
SRR1533374,PI547686,II
SRR1533378,PI548311,0
SRR1533381,PI591435,ND
SRR1533384,PI548512,II
SRR1533385,PI547690,II
SRR1533386,PI548182,III
SRR1533387,PI515961,IV
SRR1533389,PI548391,II
SRR1533395,PI548631,III
SRR1533396,PI547779,II
SRR1533409,PI546044,ND
SRR1533415,PI548573,II
SRR1533419,PI533602,VI
SRR1533423,PI536635,III
SRR1533427,PI591541,II
SRR1533429,PI548593,0
SRR1533436,PI591511,III
SRR1533438,PI513382,0
SRR1533441,PI548985,VI
SRR1533442,PI548477,VI
SRR1533444,PI547680,II
SRR1533446,PI591431,ND
SRR1533451,PI542403,0
TC21,PI615695,VII
TC22,PI366122,IV
US-18,PI595099,VII
US-19,PI595362,IV
USB-001,PI548656,VI
USB-002,FC33243,IV
USB-003,PI81785,III
USB-004,PI166105,VII
USB-005,PI180501,0
USB-006,PI240664,ND
USB-007,PI266806C,II
USB-009,PI360957,0
USB-010,PI361087,I
USB-011,PI361093,I
USB-012,PI437265D,0
USB-013,PI438335,III
USB-014,PI468908,000
USB-015,PI497964A,IX
USB-016,PI506862,IV
USB-017,PI507180,IV
USB-018,PI518668,IV
USB-020,PI603458A,IV
USB-021,PI548171,III
USB-022,PI548193,IV
USB-023,PI548313,III
USB-024,PI548325,0
USB-025,PI548360,II
USB-026,PI548364,IV
USB-028,PI548447,VIII
USB-029,PI548452,V
USB-031,PI548490,VII
USB-032,PI548520,II
USB-033,PI548561,I
USB-035,PI549018,V
USB-036,PI549026,V
USB-037,PI549041A,III
USB-038,PI559932,IV
USB-039,PI567171,0
USB-040,PI567426,IV
USB-041,PI567558,III
USB-042,PI567604A,IV
USB-043,PI578309,VI
USB-044,PI578495,IV
USB-045,PI592523,0
USB-046,PI592954,II
USB-047,PI594307,VIII
USB-048,PI597476,V
USB-049,PI603426G,II
USB-050,PI603442,III
USB-052,PI88788,III
USB-058,PI548658,VI
USB-059,FC29333,III
USB-060,FC31697,IV
USB-061,PI54591,III
USB-062,PI54608-1,II
USB-063,PI54614,IV
USB-064,PI54615-1,III
USB-065,PI58955,IV
USB-066,PI62203,V
USB-067,PI68521-1,III
USB-068,PI68604-1,III
USB-069,PI68732-1,III
USB-070,PI70080,III
USB-071,PI70466-3,IV
USB-072,PI71465,V
USB-073,PI80837,IV
USB-074,PI81041,III
USB-075,PI83881,IV
USB-076,PI83942,V
USB-077,PI84631,III
USB-078,PI84637,II
USB-079,PI84656,III
USB-080,PI84946-2,IV
USB-081,PI84973,III
USB-084,PI86904,VI
USB-085,PI86972-2,IV
USB-086,PI87620,III
USB-087,PI88313,II
USB-088,PI88468,II
USB-089,PI89005-5,II
USB-090,PI89775,VI
USB-091,PI90479P,IV
USB-092,PI90486,III
USB-093,PI91100-3,III
USB-094,PI91159-4,IV
USB-095,PI91160,III
USB-096,PI92651,IV
USB-097,PI94159-3,IV
USB-098,PI95860,VI
USB-100,PI103088,III
USB-101,PI123440,VI
USB-102,PI153231,III
USB-103,PI153281,0
USB-104,PI154189,0
USB-106,PI159925,VIII
USB-107,PI165563,VII
USB-108,PI165675,VII
USB-109,PI171428,IV
USB-110,PI171451,VII
USB-112,PI179935,VII
USB-113,PI189873,0
USB-115,PI209333,VI
USB-116,PI209334,III
USB-117,PI232992,III
USB-119,PI253661B,III
USB-120,PI261272C,IX
USB-121,PI274453,X
USB-122,PI291294,I
USB-123,PI291309D,II
USB-124,PI291310C,II
USB-125,PI297505,I
USB-126,PI297520,0
USB-127,PI324924,V
USB-128,PI342434,V
USB-129,PI342619A,0
USB-131,PI361066B,I
USB-132,PI361070,0
USB-133,PI361080,II
USB-134,PI372403B,0
USB-135,PI372418,I
USB-136,PI374207,X
USB-139,PI378658,0
USB-140,PI378663,I
USB-141,PI378680E,I
USB-143,PI379618,V
USB-144,PI391577,II
USB-145,PI391583,II
USB-146,PI398633,V
USB-147,PI398965,IV
USB-148,PI404187,II
USB-149,PI407701,I
USB-150,PI407708A,0
USB-151,PI407742,V
USB-152,PI416751,I
USB-153,PI416838,V
USB-154,PI417215,VIII
USB-155,PI417242,II
USB-156,PI417345B,IV
USB-157,PI417381,0
USB-158,PI417479,IV
USB-159,PI417500,VIII
USB-160,PI417529,0
USB-161,PI417581,V
USB-162,PI423926,IV
USB-163,PI424038B,V
USB-166,PI424195A,0
USB-167,PI430595,IV
USB-168,PI436684,III
USB-169,PI437110A,III
USB-170,PI437112A,II
USB-171,PI437127A,IV
USB-173,PI437160,I
USB-174,PI437165A,I
USB-175,PI437240,0
USB-177,PI437376A,I
USB-178,PI437485,II
USB-179,PI437500A,I
USB-180,PI437505,II
USB-182,PI437662,II
USB-183,PI437685D,III
USB-184,PI437695A,I
USB-185,PI437776,III
USB-186,PI437788A,II
USB-187,PI437793,II
USB-188,PI437814A,II
USB-189,PI437838,II
USB-191,PI437956B,II
USB-192,PI437991B,0
USB-193,PI438019B,II
USB-195,PI438083,II
USB-196,PI438112B,III
USB-198,PI438230A,I
USB-199,PI438239B,I
USB-201,PI438309,I
USB-202,PI438323,I
USB-203,PI438336,0
USB-204,PI438347,VII
USB-206,PI438496B,III
USB-207,PI438496C,IV
USB-208,PI438500,III
USB-209,PI445824A,0
USB-210,PI458505,II
USB-212,PI458510,III
USB-213,PI464896,I
USB-214,PI458912,IV
USB-215,PI464923,I
USB-216,PI467347,II
USB-217,PI468408B,III
USB-218,PI475820,II
USB-220,PI476352B,II
USB-221,PI479735,III
USB-222,PI490766,III
USB-223,PI495020,IV
USB-224,PI497953,X
USB-226,PI497967,VII
USB-227,PI504288,V
USB-228,PI506933,IV
USB-229,PI506942,II
USB-230,PI507017,VII
USB-232,PI507088,VI
USB-233,PI507293B,III
USB-234,PI507458,IV
USB-235,PI507467,IV
USB-236,PI507471,III
USB-238,PI507480,IV
USB-240,PI514671,0
USB-241,PI518727,VI
USB-242,PI532463B,III
USB-245,PI538386A,III
USB-246,PI540552,II
USB-248,PI542972,VII
USB-249,PI548162,IV
USB-250,PI548169,IV
USB-251,PI548178,III
USB-252,PI548198,III
USB-253,PI548200,IV
USB-254,PI548256,VII
USB-255,PI548336,I
USB-256,PI548356,II
USB-257,PI548359,IV
USB-258,PI548383,III
USB-259,PI548400,IV
USB-260,PI548411,II
USB-261,PI548427,IV
USB-262,PI548473,VII
USB-263,PI548474,VIII
USB-264,PI548479,VIII
USB-265,PI548521,II
USB-266,PI548524,I
USB-268,PI548571,I
USB-269,PI548572,I
USB-270,PI548582,0
USB-271,PI548619,IV
USB-272,PI548633,IV
USB-274,PI548696,V
USB-276,PI548978,VI
USB-277,PI549017,IV
USB-278,PI549021A,III
USB-279,PI549028,V
USB-281,PI549040,IV
USB-282,PI556511,III
USB-283,PI561318A,I
USB-284,PI561371,IV
USB-285,PI561387,V
USB-286,PI561389B,0
USB-287,PI561701,IV
USB-290,PI567074B,IX
USB-291,PI567173,0
USB-293,PI567225,0
USB-294,PI567226,0
USB-295,PI567231,VIII
USB-296,PI567238,ND
USB-297,PI567626A,IV
USB-298,PI567307,IV
USB-301,PI567346,V
USB-302,PI567352A,IV
USB-303,PI567353,IV
USB-304,PI567361,III
USB-306,PI567407,V
USB-307,PI567408,V
USB-308,PI567410B,VII
USB-309,PI567415A,IV
USB-310,PI567416,IV
USB-311,PI567418A,II
USB-312,PI567428,IV
USB-313,PI567435B,III
USB-314,PI567439,V
USB-315,PI567488A,IV
USB-316,PI567489A,IV
USB-317,PI567525,II
USB-318,PI567532,IV
USB-319,PI567548,IV
USB-320,PI567576,III
USB-322,PI567675,IV
USB-323,PI567685,IV
USB-324,PI567698A,IV
USB-325,PI567726,IV
USB-326,PI567746,IV
USB-327,PI567780B,IV
USB-328,PI567782,I
USB-330,PI574477,IV
USB-331,PI578375B,I
USB-332,PI578412,II
USB-333,PI578493,II
USB-334,PI578499A,II
USB-335,PI578503,I
USB-336,PI578504,II
USB-338,PI587588A,IV
USB-339,PI587588B,V
USB-341,PI587712B,V
USB-342,PI587804,IV
USB-343,PI587811A,VIII
USB-345,PI592937,IV
USB-346,PI592940,IV
USB-347,PI592952,III
USB-348,PI592960,I
USB-351,PI593953,I
USB-353,PI594170B,I
USB-354,PI594456A,III
USB-357,PI594880,V
USB-358,PI594922,V
USB-361,PI597464,II
USB-362,PI597471A,VII
USB-363,PI597478B,III
USB-364,PI598358,V
USB-366,PI602502B,IV
USB-367,PI602993,IV
USB-368,PI603162,IV
USB-369,PI603290,I
USB-370,PI603345,II
USB-371,PI603389,II
USB-372,PI603397,IV
USB-373,PI603399,II
USB-374,PI603463,II
USB-375,PI603488,III
USB-376,PI603492,IV
USB-377,PI603494,IV
USB-378,PI603495B,V
USB-381,PI603526,IV
USB-382,PI603549,III
USB-383,PI603555,IV
USB-384,PI603556,III
USB-385,PI603559,IV
USB-386,PI603675,III
USB-387,PI603698J,0
USB-388,PI603722,VIII
USB-389,PI605765B,II
USB-390,PI606374,IV
USB-392,PI612730,II
USB-393,PI612754,I
USB-395,PI628812,V
USB-396,PI628913,VI
USB-398,PI628963,VII
USB-399,PI631123,V
USB-400,PI632418,V
USB-401,PI632650,V
USB-402,PI639528B,II
USB-403,PI639543,II
USB-404,PI639550E,II
USB-405,PI639559B,II
USB-407,PI639570,V
USB-409,PI322692,IX
USB-411,PI567788,VIII
USB-412,FC3654-1,IV
USB-414,FC31571,III
USB-415,FC32033,0
USB-416,PI54873,II
USB-417,PI59845,VI
USB-418,PI60970,IV
USB-419,PI62202-2,IV
USB-421,PI68423,III
USB-422,PI68436,II
USB-423,PI68523,III
USB-424,PI68679-2,IV
USB-425,PI68731,III
USB-426,PI68736,II
USB-427,PI68765,II
USB-428,PI68815,II
USB-429,PI70078,II
USB-430,PI70201,III
USB-431,PI70208,IV
USB-432,PI70242-2,IV
USB-433,PI79616,III
USB-435,PI79797,III
USB-436,PI79832,V
USB-437,PI79870-4,IV
USB-438,PI80466-1,III
USB-439,PI80671,II
USB-440,PI81042-2,IV
USB-441,PI82302,III
USB-442,PI83925,IV
USB-443,PI84509,III
USB-444,PI84660,IV
USB-445,PI84734,VI
USB-446,PI86084,V
USB-447,PI86982,V
USB-448,PI87076,V
USB-449,PI87571,IV
USB-450,PI87618,III
USB-451,PI87634,III
USB-452,PI88306,III
USB-453,PI88448,III
USB-454,PI88479,II
USB-455,PI88499,IV
USB-456,PI88508,II
USB-459,PI90369,IV
USB-460,PI90406-1,IV
USB-462,PI90495N,IV
USB-463,PI90499-1,III
USB-464,PI90577,VI
USB-465,PI90723,III
USB-466,PI90768,VI
USB-467,PI91083,III
USB-468,PI91089,III
USB-469,PI91120,II
USB-470,PI91132-3,IV
USB-472,PI91725,V
USB-473,PI91731-1,IV
USB-474,PI92601,VI
USB-475,PI92604,IV
USB-476,PI92618,III
USB-477,PI92688-2,IV
USB-478,PI92718-2,III
USB-479,PI92728,III
USB-480,PI93055,IV
USB-481,PI93563,III
USB-484,PI103079,V
USB-485,PI123439,VII
USB-486,PI123587,V
USB-488,PI165674,VIII
USB-489,PI165929,VII
USB-490,PI171438,VII
USB-492,PI180532,0
USB-494,PI192870,VII
USB-496,PI198067,0
USB-497,PI200503,V
USB-498,PI209331,III
USB-499,PI219698,VI
USB-500,PI227320,IV
USB-502,PI235347,IV
USB-504,PI253652B,IV
USB-505,PI253656B,IV
USB-506,PI257429,0
USB-510,PI290136,0
USB-512,PI319527,V
USB-514,PI325779,IX
USB-516,PI341245,IX
USB-518,PI370057B,II
USB-520,PI377574,IV
USB-521,PI378670B,II
USB-522,PI378682C,IV
USB-524,PI399058,V
USB-525,PI404161,IV
USB-526,PI404182,III
USB-527,PI404199,IV
USB-528,PI407659B,III
USB-529,PI407717,II
USB-530,PI408088,V
USB-531,PI416768,V
USB-533,PI417007,IV
USB-534,PI417077,III
USB-537,PI417550,0
USB-538,PI424005,III
USB-540,PI430596,II
USB-541,PI430598B,IV
USB-543,PI434974,IX
USB-544,PI437123,I
USB-545,PI437135B,II
USB-546,PI437138,0
USB-548,PI437168A,I
USB-549,PI437211B,0
USB-550,PI437287,0
USB-551,PI437296,0
USB-553,PI437321,III
USB-554,PI437326,II
USB-555,PI437347,II
USB-556,PI437366,I
USB-558,PI437427A,II
USB-559,PI437431,II
USB-560,PI437476,III
USB-561,PI437477B,II
USB-562,PI437487,III
USB-563,PI437513,II
USB-564,PI437562,VIII
USB-565,PI437578,III
USB-566,PI437594A,I
USB-567,PI437609B,II
USB-568,PI437615A,0
USB-569,PI437634,I
USB-570,PI437640A,I
USB-571,PI437721B,I
USB-573,PI437781,I
USB-574,PI437798,IV
USB-575,PI437815,I
USB-576,PI437875A,I
USB-577,PI437995A,0
USB-578,PI437999,0
USB-579,PI438011,II
USB-580,PI438047,III
USB-581,PI438120,I
USB-582,PI438195,I
USB-583,PI438267,0
USB-584,PI438310,III
USB-585,PI438312,III
USB-586,PI438329,II
USB-587,PI438358B,0
USB-589,PI438450,II
USB-590,PI438492,I
USB-591,PI438504B,II
USB-592,PI438509A,I
USB-593,PI464913,IV
USB-594,PI466749A,II
USB-595,PI467313,0
USB-596,PI468919,III
USB-597,PI475812B,III
USB-599,PI476344,II
USB-602,PI476939,IV
USB-603,PI483253,IX
USB-604,PI504495,V
USB-607,PI507678,I
USB-608,PI508083,0
USB-609,PI508269,IV
USB-611,PI518711,II
USB-612,PI518759,VI
USB-613,PI525454,IV
USB-614,PI532454,0
USB-615,PI533654,IV
USB-616,PI534648,III
USB-617,PI539865,I
USB-618,PI539936,IV
USB-619,PI540555,IV
USB-620,PI543794,IV
USB-622,PI547831,II
USB-623,PI548158,IV
USB-628,PI548414,0
USB-629,PI548440,VI
USB-630,PI548464,V
USB-632,PI548472,VII
USB-633,PI548491,VII
USB-634,PI548497,VIII
USB-635,PI548528,II
USB-637,PI548547,IV
USB-640,PI548568,0
USB-642,PI549023B,V
USB-646,PI556637,I
USB-650,PI561321,III
USB-654,PI566998A,VIII
USB-655,PI567056A,VIII
USB-656,PI567060A,V
USB-658,PI567170A,II
USB-663,PI567265,IV
USB-664,PI567272A,IV
USB-666,PI567331,IV
USB-669,PI567366A,III
USB-670,PI567370A,IV
USB-672,PI567381B,V
USB-673,PI567390,V
USB-674,PI567392,V
USB-675,PI567394B,VI
USB-676,PI567395,IV
USB-677,PI567396B,IV
USB-678,PI567398,IV
USB-679,PI567404A,III
USB-680,PI567405,VI
USB-682,PI567417B,I
USB-684,PI567458,IV
USB-687,PI567503,IV
USB-688,PI567541B,III
USB-689,PI567552,IV
USB-690,PI567556,IV
USB-691,PI567559,II
USB-694,PI567582A,IV
USB-696,PI567593B,IV
USB-697,PI567599,III
USB-699,PI567638,IV
USB-700,PI567648C,IV
USB-701,PI567721,IV
USB-703,PI567772,IV
USB-705,PI574478C,II
USB-706,PI578316C,VIII
USB-707,PI578329C,VI
USB-708,PI578330,VIII
USB-710,PI578490,IV
USB-711,PI583366,IV
USB-712,PI587560A,VII
USB-713,PI587575A,IV
USB-715,PI587582,VI
USB-717,PI587668A,VI
USB-718,PI587788B,VI
USB-719,PI587794,VI
USB-728,PI587963,X
USB-729,PI588015B,IV
USB-730,PI588026C,IV
USB-732,PI592919,I
USB-733,PI592928,II
USB-734,PI592932,II
USB-735,PI592936,II
USB-737,PI594409B,III
USB-740,PI594467,III
